P1,P2
入-小-367_神経芽腫 NGT+CPA/12kg未満,"Cyclophosphamide,Nogitecan"
"入-小-562_神経芽腫ｼﾞﾇﾂｷｼﾏﾌﾞCSF（1,3,5ｺｰｽ）2歳以上",Dinutuximab
共-肺-49_非小細胞肺癌 ｱﾃｿﾞﾘｽﾞﾏﾌﾞ,
化学放射線治療　CDDP+S-1,
呼吸　Pembrolizumab+CBDCA+PEM,
小児神経芽腫 Dinutuximab_CSF q4w,Dinutuximab
小児神経芽腫 NGT/CPA q4w,"Cyclophosphamide,Nogitecan"
小児神経芽腫 NGT/ETP(TE) q4w,"Etoposide,Nogitecan"
肉腫トラベクテジン,Trabectedin
肺デュルバルマブ,
肺癌(非小細胞)カルボプラチン・ペメトレキセド・ゲフィチニブ療法,
軟部 ADM q3w,Doxorubicin
骨軟部 ICE (IFO/CBDCA/VP-16),"Carboplatin,Etoposide,Ifosfamide"
骨軟部 ICE (IFO/CBDCA/VP-16),"Carboplatin,Etoposide,Ifosfamide"
